iter	Passed	Remaining
0	178	178493
1	215	107639
2	282	93800
3	315	78665
4	361	72022
5	405	67240
6	470	66695
7	510	63325
8	545	60049
9	573	56758
10	584	52520
11	634	52248
12	658	50011
13	711	50111
14	724	47554
15	750	46127
16	776	44906
17	833	45492
18	875	45201
19	926	45409
20	969	45175
21	1003	44628
22	1071	45531
23	1117	45433
24	1161	45307
25	1197	44851
26	1267	45692
27	1304	45268
28	1351	45261
29	1404	45413
30	1440	45017
31	1446	43767
32	1479	43363
33	1545	43904
34	1600	44115
35	1646	44098
36	1689	43977
37	1764	44667
38	1825	44986
39	1854	44506
40	1889	44207
41	1959	44695
42	1997	44450
43	2063	44824
44	2097	44508
45	2143	44452
46	2172	44040
47	2220	44036
48	2266	43979
49	2334	44355
50	2369	44082
51	2407	43885
52	2436	43536
53	2452	42972
54	2473	42505
55	2526	42595
56	2587	42811
57	2621	42571
58	2654	42343
59	2686	42082
60	2703	41617
61	2746	41547
62	2778	41319
63	2811	41113
64	2843	40903
65	2863	40524
66	2895	40323
67	2940	40300
68	2974	40137
69	3023	40171
70	3069	40162
71	3108	40067
72	3146	39956
73	3204	40105
74	3242	39994
75	3286	39952
76	3360	40281
77	3386	40025
78	3440	40114
79	3486	40097
80	3508	39811
81	3543	39671
82	3601	39785
83	3657	39880
84	3734	40200
85	3791	40293
86	3853	40439
87	3913	40561
88	3951	40449
89	3995	40394
90	4030	40261
91	4078	40255
92	4123	40218
93	4172	40216
94	4211	40118
95	4275	40264
96	4312	40149
97	4355	40090
98	4422	40251
99	4483	40349
100	4535	40371
101	4571	40249
102	4623	40266
103	4650	40068
104	4703	40094
105	4742	39994
106	4752	39659
107	4784	39518
108	4823	39424
109	4865	39367
110	4912	39347
111	4950	39247
112	5006	39296
113	5070	39410
114	5124	39434
115	5173	39424
116	5219	39389
117	5265	39357
118	5335	39502
119	5376	39424
120	5417	39354
121	5455	39263
122	5502	39236
123	5544	39171
124	5588	39117
125	5637	39101
126	5666	38953
127	5716	38943
128	5765	38927
129	5807	38866
130	5855	38840
131	5913	38887
132	5965	38890
133	6021	38915
134	6029	38633
135	6066	38540
136	6111	38500
137	6147	38401
138	6203	38427
139	6211	38153
140	6260	38137
141	6318	38180
142	6369	38169
143	6414	38127
144	6487	38256
145	6536	38234
146	6558	38057
147	6601	38001
148	6646	37960
149	6694	37936
150	6791	38187
151	6847	38201
152	6881	38094
153	6912	37971
154	6965	37973
155	7013	37945
156	7072	37975
157	7111	37896
158	7149	37818
159	7201	37805
160	7265	37864
161	7321	37873
162	7363	37811
163	7396	37704
164	7435	37626
165	7480	37582
166	7488	37350
167	7521	37249
168	7536	37056
169	7588	37048
170	7647	37076
171	7696	37052
172	7739	36997
173	7757	36824
174	7820	36866
175	7867	36834
176	7931	36879
177	7966	36788
178	8034	36849
179	8077	36796
180	8132	36797
181	8211	36905
182	8257	36864
183	8293	36781
184	8341	36747
185	8391	36723
186	8417	36597
187	8465	36565
188	8501	36479
189	8555	36473
190	8600	36429
191	8628	36310
192	8681	36300
193	8716	36214
194	8773	36217
195	8817	36167
196	8843	36049
197	8897	36041
198	8958	36057
199	8998	35992
200	9047	35964
201	9081	35875
202	9117	35796
203	9147	35694
204	9196	35665
205	9236	35602
206	9272	35523
207	9310	35450
208	9358	35418
209	9409	35396
210	9461	35381
211	9481	35241
212	9563	35333
213	9611	35301
214	9651	35240
215	9677	35124
216	9699	34998
217	9756	34996
218	9801	34955
219	9833	34863
220	9874	34805
221	9929	34799
222	9998	34837
223	10053	34827
224	10091	34758
225	10145	34746
226	10183	34677
227	10223	34617
228	10270	34579
229	10325	34568
230	10368	34516
231	10407	34453
232	10446	34388
233	10500	34372
234	10551	34348
235	10607	34340
236	10650	34289
237	10719	34319
238	10728	34159
239	10750	34042
240	10796	34003
241	10832	33928
242	10886	33913
243	10949	33926
244	11011	33934
245	11091	33997
246	11170	34054
247	11187	33922
248	11240	33903
249	11276	33830
250	11298	33716
251	11346	33679
252	11378	33596
253	11413	33521
254	11447	33443
255	11479	33363
256	11523	33315
257	11536	33177
258	11582	33137
259	11626	33091
260	11684	33084
261	11736	33060
262	11796	33056
263	11806	32914
264	11841	32843
265	11871	32758
266	11899	32667
267	11931	32590
268	11991	32586
269	12039	32552
270	12072	32476
271	12108	32408
272	12165	32396
273	12239	32429
274	12293	32409
275	12340	32370
276	12391	32342
277	12454	32346
278	12491	32282
279	12534	32232
280	12600	32240
281	12650	32210
282	12669	32099
283	12697	32011
284	12727	31930
285	12768	31875
286	12835	31887
287	12873	31826
288	12942	31842
289	12978	31773
290	13009	31697
291	13041	31620
292	13077	31554
293	13144	31565
294	13180	31499
295	13210	31418
296	13237	31333
297	13275	31273
298	13303	31190
299	13333	31112
300	13360	31026
301	13411	30996
302	13444	30925
303	13471	30842
304	13530	30832
305	13587	30816
306	13655	30824
307	13685	30748
308	13743	30732
309	13826	30774
310	13888	30769
311	13925	30706
312	13970	30664
313	14053	30702
314	14094	30649
315	14124	30572
316	14169	30528
317	14186	30424
318	14222	30362
319	14275	30336
320	14321	30294
321	14349	30213
322	14390	30162
323	14428	30103
324	14456	30025
325	14508	29995
326	14568	29982
327	14608	29929
328	14657	29894
329	14687	29821
330	14736	29784
331	14769	29715
332	14800	29646
333	14839	29590
334	14868	29516
335	14916	29477
336	14930	29373
337	14979	29339
338	15025	29297
339	15094	29301
340	15136	29251
341	15166	29180
342	15197	29109
343	15244	29071
344	15290	29029
345	15331	28978
346	15368	28921
347	15407	28866
348	15438	28798
349	15476	28742
350	15529	28714
351	15582	28685
352	15627	28643
353	15680	28615
354	15721	28564
355	15748	28488
356	15781	28425
357	15816	28363
358	15851	28302
359	15888	28246
360	15918	28177
361	15950	28111
362	15994	28068
363	16038	28022
364	16065	27949
365	16136	27952
366	16171	27892
367	16211	27841
368	16260	27805
369	16288	27733
370	16328	27684
371	16372	27640
372	16400	27568
373	16450	27534
374	16504	27507
375	16534	27440
376	16581	27400
377	16627	27359
378	16666	27308
379	16725	27289
380	16766	27239
381	16823	27217
382	16868	27174
383	16916	27137
384	16948	27073
385	16961	26980
386	16999	26926
387	17027	26858
388	17060	26796
389	17112	26766
390	17167	26739
391	17185	26655
392	17244	26635
393	17280	26578
394	17316	26522
395	17367	26489
396	17421	26462
397	17456	26403
398	17498	26357
399	17540	26310
400	17568	26243
401	17628	26223
402	17643	26136
403	17673	26072
404	17739	26061
405	17780	26013
406	17848	26005
407	17883	25948
408	17921	25896
409	17976	25869
410	18011	25811
411	18051	25763
412	18128	25766
413	18157	25700
414	18209	25669
415	18254	25625
416	18288	25568
417	18315	25500
418	18344	25437
419	18401	25412
420	18443	25365
421	18469	25297
422	18500	25235
423	18525	25167
424	18554	25102
425	18602	25065
426	18656	25035
427	18683	24969
428	18752	24959
429	18785	24902
430	18814	24838
431	18853	24788
432	18859	24695
433	18913	24665
434	18958	24624
435	18972	24542
436	19017	24500
437	19057	24452
438	19097	24404
439	19169	24396
440	19198	24336
441	19225	24271
442	19256	24212
443	19304	24173
444	19336	24116
445	19365	24054
446	19396	23996
447	19430	23941
448	19468	23890
449	19490	23822
450	19537	23782
451	19587	23747
452	19615	23685
453	19661	23646
454	19713	23613
455	19719	23524
456	19758	23476
457	19788	23417
458	19851	23398
459	19881	23338
460	19943	23317
461	19990	23279
462	20000	23197
463	20041	23151
464	20073	23095
465	20115	23050
466	20206	23062
467	20279	23053
468	20355	23046
469	20392	22995
470	20444	22962
471	20491	22922
472	20517	22859
473	20567	22823
474	20594	22761
475	20634	22715
476	20665	22658
477	20718	22625
478	20759	22579
479	20824	22559
480	20847	22494
481	20904	22465
482	20933	22406
483	20984	22371
484	21010	22310
485	21043	22256
486	21078	22204
487	21122	22160
488	21222	22177
489	21262	22130
490	21299	22080
491	21344	22038
492	21373	21980
493	21421	21941
494	21450	21884
495	21497	21844
496	21524	21784
497	21555	21728
498	21587	21673
499	21605	21605
500	21647	21561
501	21688	21515
502	21718	21459
503	21755	21409
504	21797	21365
505	21857	21339
506	21908	21303
507	21940	21249
508	21987	21210
509	22025	21161
510	22055	21105
511	22082	21047
512	22115	20994
513	22142	20935
514	22199	20906
515	22250	20870
516	22284	20818
517	22347	20794
518	22396	20756
519	22442	20715
520	22483	20670
521	22523	20625
522	22574	20589
523	22619	20547
524	22659	20501
525	22695	20452
526	22728	20399
527	22766	20352
528	22805	20304
529	22840	20254
530	22873	20203
531	22907	20151
532	22956	20114
533	22996	20067
534	23064	20046
535	23098	19995
536	23140	19951
537	23168	19895
538	23184	19829
539	23234	19792
540	23284	19755
541	23312	19699
542	23359	19660
543	23396	19611
544	23451	19578
545	23501	19541
546	23560	19511
547	23589	19457
548	23623	19406
549	23689	19382
550	23743	19348
551	23785	19304
552	23815	19250
553	23851	19201
554	23880	19147
555	23928	19108
556	23958	19054
557	24005	19015
558	24044	18968
559	24085	18924
560	24128	18881
561	24168	18836
562	24191	18777
563	24203	18710
564	24268	18684
565	24317	18646
566	24348	18594
567	24377	18540
568	24406	18487
569	24437	18435
570	24471	18385
571	24499	18331
572	24526	18276
573	24577	18240
574	24630	18205
575	24665	18156
576	24700	18107
577	24731	18056
578	24766	18007
579	24810	17966
580	24842	17915
581	24863	17857
582	24897	17808
583	24938	17764
584	24991	17728
585	25031	17684
586	25061	17632
587	25089	17579
588	25107	17520
589	25157	17482
590	25190	17433
591	25218	17380
592	25284	17354
593	25335	17317
594	25372	17270
595	25413	17226
596	25464	17189
597	25510	17148
598	25549	17103
599	25578	17052
600	25615	17005
601	25658	16963
602	25708	16925
603	25767	16893
604	25818	16856
605	25855	16810
606	25891	16763
607	25920	16711
608	25966	16671
609	26024	16638
610	26061	16592
611	26091	16541
612	26121	16491
613	26153	16441
614	26206	16405
615	26222	16346
616	26251	16295
617	26451	16350
618	26482	16300
619	26541	16267
620	26589	16227
621	26617	16176
622	26663	16135
623	26698	16087
624	26725	16035
625	26762	15989
626	26804	15945
627	26830	15893
628	26861	15843
629	26910	15804
630	26931	15749
631	26963	15700
632	27021	15666
633	27070	15627
634	27103	15578
635	27135	15530
636	27166	15481
637	27212	15440
638	27265	15403
639	27310	15362
640	27323	15303
641	27369	15262
642	27400	15212
643	27476	15188
644	27498	15134
645	27526	15084
646	27554	15033
647	27582	14983
648	27626	14941
649	27679	14904
650	27724	14863
651	27753	14813
652	27782	14763
653	27815	14715
654	27879	14684
655	27905	14633
656	27968	14601
657	28017	14562
658	28056	14518
659	28088	14469
660	28107	14415
661	28136	14365
662	28185	14326
663	28232	14286
664	28259	14235
665	28291	14188
666	28323	14140
667	28366	14098
668	28397	14050
669	28431	14003
670	28444	13946
671	28524	13922
672	28570	13882
673	28598	13832
674	28660	13799
675	28722	13766
676	28754	13719
677	28785	13671
678	28816	13622
679	28850	13576
680	28875	13526
681	28926	13487
682	28977	13449
683	29019	13406
684	29047	13357
685	29107	13323
686	29144	13278
687	29215	13249
688	29265	13209
689	29336	13180
690	29363	13130
691	29392	13082
692	29434	13039
693	29462	12990
694	29498	12945
695	29511	12890
696	29590	12863
697	29619	12815
698	29664	12773
699	29706	12731
700	29784	12704
701	29820	12658
702	29880	12623
703	29917	12579
704	29945	12530
705	29989	12488
706	30033	12446
707	30067	12400
