iter	F1	Logloss	Accuracy	Precision	Recall
0	0	0.6900985207	0.7	1	0
1	0.2053571429	0.6866721613	0.721875	0.71875	0.1197916667
2	0.472972973	0.6829568176	0.75625	0.6730769231	0.3645833333
3	0.4015151515	0.6790222986	0.753125	0.7361111111	0.2760416667
4	0.4150943396	0.6756959805	0.7578125	0.7534246575	0.2864583333
5	0.4166666667	0.6718110605	0.759375	0.7638888889	0.2864583333
6	0.4106463878	0.6683708742	0.7578125	0.7605633803	0.28125
7	0.4328358209	0.664510134	0.7625	0.7631578947	0.3020833333
8	0.4186046512	0.6616272365	0.765625	0.8181818182	0.28125
9	0.4108527132	0.6579241745	0.7625	0.803030303	0.2760416667
10	0.40625	0.654434868	0.7625	0.8125	0.2708333333
11	0.4247104247	0.651865096	0.7671875	0.8208955224	0.2864583333
12	0.4360902256	0.6491151642	0.765625	0.7837837838	0.3020833333
13	0.4436090226	0.6455342772	0.76875	0.7972972973	0.3072916667
14	0.4615384615	0.6425606898	0.7703125	0.7777777778	0.328125
15	0.4552238806	0.6401504949	0.771875	0.8026315789	0.3177083333
16	0.4263565891	0.6378333934	0.76875	0.8333333333	0.2864583333
17	0.4511278195	0.6349551604	0.771875	0.8108108108	0.3125
18	0.4528301887	0.6325117693	0.7734375	0.8219178082	0.3125
19	0.4307692308	0.6300336835	0.76875	0.8235294118	0.2916666667
20	0.4173228346	0.6275693156	0.76875	0.8548387097	0.2760416667
21	0.4143426295	0.6257492342	0.7703125	0.8813559322	0.2708333333
22	0.4048582996	0.6237485461	0.7703125	0.9090909091	0.2604166667
23	0.3801652893	0.6220557299	0.765625	0.92	0.2395833333
24	0.3734439834	0.6202015832	0.7640625	0.9183673469	0.234375
25	0.3770491803	0.6174516625	0.7625	0.8846153846	0.2395833333
26	0.3719008264	0.6152333565	0.7625	0.9	0.234375
27	0.3734439834	0.6135499479	0.7640625	0.9183673469	0.234375
28	0.3734439834	0.6117007536	0.7640625	0.9183673469	0.234375
29	0.3666666667	0.6098888133	0.7625	0.9166666667	0.2291666667
30	0.393442623	0.6074671707	0.76875	0.9230769231	0.25
31	0.3852459016	0.60607867	0.765625	0.9038461538	0.2447916667
32	0.3868312757	0.604509939	0.7671875	0.9215686275	0.2447916667
33	0.3902439024	0.6024037504	0.765625	0.8888888889	0.25
34	0.3967611336	0.6000977915	0.7671875	0.8909090909	0.2552083333
35	0.4032258065	0.5977147389	0.76875	0.8928571429	0.2604166667
36	0.416	0.5954892709	0.771875	0.8965517241	0.2708333333
37	0.4032258065	0.5934852157	0.76875	0.8928571429	0.2604166667
38	0.4096385542	0.5914893589	0.7703125	0.8947368421	0.265625
39	0.3951612903	0.5904465183	0.765625	0.875	0.2552083333
40	0.3951612903	0.5883320166	0.765625	0.875	0.2552083333
41	0.3902439024	0.5859536895	0.765625	0.8888888889	0.25
42	0.3836734694	0.5841972718	0.7640625	0.8867924528	0.2447916667
43	0.4096385542	0.5819555088	0.7703125	0.8947368421	0.265625
44	0.3967611336	0.5809373257	0.7671875	0.8909090909	0.2552083333
45	0.4016064257	0.579014403	0.7671875	0.8771929825	0.2604166667
46	0.3967611336	0.5772225963	0.7671875	0.8909090909	0.2552083333
47	0.3902439024	0.5766933484	0.765625	0.8888888889	0.25
48	0.3983739837	0.5748846141	0.76875	0.9074074074	0.2552083333
