iter	F1	Logloss	Accuracy	Precision	Recall
0	0.5113924051	0.6890409577	0.75875	0.6516129032	0.4208333333
1	0.4959568733	0.6849549185	0.76625	0.7022900763	0.3833333333
2	0.5501285347	0.6809255235	0.78125	0.7181208054	0.4458333333
3	0.5271317829	0.6767500686	0.77125	0.693877551	0.425
4	0.5	0.6738158394	0.7675	0.7045454545	0.3875
5	0.4906666667	0.669556098	0.76125	0.6814814815	0.3833333333
6	0.486631016	0.6663383649	0.76	0.6791044776	0.3791666667
7	0.4851752022	0.6636917816	0.76125	0.6870229008	0.375
8	0.4754098361	0.6612015716	0.76	0.6904761905	0.3625
9	0.4735376045	0.658400716	0.76375	0.7142857143	0.3541666667
10	0.4735376045	0.6557198338	0.76375	0.7142857143	0.3541666667
11	0.4705882353	0.6527401243	0.76375	0.7179487179	0.35
12	0.446991404	0.6499793749	0.75875	0.7155963303	0.325
13	0.4340175953	0.6476258122	0.75875	0.7326732673	0.3083333333
14	0.4179104478	0.6451316741	0.75625	0.7368421053	0.2916666667
15	0.4156626506	0.6427295877	0.7575	0.75	0.2875
16	0.4133738602	0.6401978496	0.75875	0.7640449438	0.2833333333
17	0.4213649852	0.636970223	0.75625	0.7319587629	0.2958333333
18	0.4251497006	0.6341772506	0.76	0.7553191489	0.2958333333
19	0.4097859327	0.6320991938	0.75875	0.7701149425	0.2791666667
20	0.4012539185	0.6301234716	0.76125	0.8101265823	0.2666666667
21	0.3962264151	0.6283147798	0.76	0.8076923077	0.2625
22	0.407523511	0.625343744	0.76375	0.8227848101	0.2708333333
23	0.4024767802	0.622856444	0.75875	0.7831325301	0.2708333333
24	0.4337349398	0.6200094376	0.765	0.7826086957	0.3
25	0.4378698225	0.6176988757	0.7625	0.7551020408	0.3083333333
26	0.4264264264	0.6151112438	0.76125	0.7634408602	0.2958333333
27	0.4371257485	0.6130802285	0.765	0.7765957447	0.3041666667
28	0.4384384384	0.611367283	0.76625	0.7849462366	0.3041666667
29	0.4350453172	0.6098760085	0.76625	0.7912087912	0.3
30	0.4342507645	0.6077216634	0.76875	0.816091954	0.2958333333
31	0.4363636364	0.6057385399	0.7675	0.8	0.3
32	0.4355828221	0.6044415061	0.77	0.8255813953	0.2958333333
33	0.427244582	0.6028627277	0.76875	0.8313253012	0.2875
34	0.4197530864	0.600495656	0.765	0.8095238095	0.2833333333
35	0.4207317073	0.5981577997	0.7625	0.7840909091	0.2875
36	0.4268292683	0.5963203698	0.765	0.7954545455	0.2916666667
37	0.4161490683	0.5939029591	0.765	0.8170731707	0.2791666667
38	0.4236760125	0.591798455	0.76875	0.8395061728	0.2833333333
39	0.4200626959	0.5894034288	0.76875	0.8481012658	0.2791666667
40	0.4200626959	0.5879360229	0.76875	0.8481012658	0.2791666667
41	0.425	0.5864163822	0.77	0.85	0.2833333333
42	0.4150943396	0.5847530459	0.7675	0.8461538462	0.275
43	0.4148606811	0.5829248209	0.76375	0.8072289157	0.2791666667
44	0.4161490683	0.5814983206	0.765	0.8170731707	0.2791666667
45	0.4174454829	0.5803395726	0.76625	0.8271604938	0.2791666667
46	0.4197530864	0.5787975663	0.765	0.8095238095	0.2833333333
47	0.4281345566	0.5770091751	0.76625	0.8045977011	0.2916666667
48	0.4471299094	0.5749100566	0.77125	0.8131868132	0.3083333333
49	0.4518072289	0.5736901891	0.7725	0.8152173913	0.3125
50	0.4471299094	0.5727326932	0.77125	0.8131868132	0.3083333333
51	0.4329268293	0.5718457693	0.7675	0.8068181818	0.2958333333
52	0.4233128834	0.5702254727	0.765	0.8023255814	0.2875
53	0.4233128834	0.5692625275	0.765	0.8023255814	0.2875
54	0.427244582	0.5679324863	0.76875	0.8313253012	0.2875
55	0.4137931034	0.5669827411	0.76625	0.835443038	0.275
56	0.4355828221	0.5655201738	0.77	0.8255813953	0.2958333333
57	0.4382716049	0.5639300356	0.7725	0.8452380952	0.2958333333
58	0.4498480243	0.5622621682	0.77375	0.8314606742	0.3083333333
59	0.4531722054	0.5603746938	0.77375	0.8241758242	0.3125
60	0.4518072289	0.559124836	0.7725	0.8152173913	0.3125
61	0.4484848485	0.5587558197	0.7725	0.8222222222	0.3083333333
62	0.4390243902	0.5573918665	0.77	0.8181818182	0.3
63	0.4518072289	0.5562033993	0.7725	0.8152173913	0.3125
64	0.4498480243	0.5550078632	0.77375	0.8314606742	0.3083333333
65	0.4334365325	0.5538104489	0.77125	0.843373494	0.2916666667
66	0.4573170732	0.5526722795	0.7775	0.8522727273	0.3125
67	0.4545454545	0.5514996753	0.775	0.8333333333	0.3125
68	0.4545454545	0.5504193622	0.775	0.8333333333	0.3125
