iter	Passed	Remaining
0	34	18128
1	72	18900
2	104	18168
3	137	18030
4	153	16064
5	185	16118
6	235	17515
7	264	17167
8	282	16240
9	298	15438
10	336	15766
11	380	16312
12	415	16447
13	448	16450
14	491	16768
15	512	16352
16	565	16979
17	606	17138
18	646	17279
19	672	17060
20	733	17682
21	748	17179
22	822	18017
23	870	18238
24	932	18731
25	991	19096
26	1034	19148
27	1095	19521
28	1121	19264
29	1133	18783
30	1184	18951
31	1218	18848
32	1248	18687
33	1288	18688
34	1326	18652
35	1361	18573
36	1415	18743
37	1452	18690
38	1487	18608
39	1522	18541
40	1560	18492
41	1594	18411
42	1651	18593
43	1691	18570
44	1719	18412
45	1752	18328
46	1799	18381
47	1832	18289
48	1870	18243
49	1921	18331
50	1946	18170
51	1994	18214
52	2047	18313
53	2065	18096
54	2103	18055
55	2115	17795
56	2154	17762
57	2200	17790
58	2249	17842
59	2282	17765
60	2316	17695
61	2323	17424
62	2373	17480
63	2408	17424
64	2438	17335
65	2473	17279
66	2514	17261
67	2550	17212
68	2596	17234
69	2629	17166
70	2667	17131
71	2722	17207
72	2763	17187
73	2800	17140
74	2836	17095
75	2873	17054
76	2895	16921
77	2919	16806
78	2976	16877
79	3015	16848
80	3028	16676
81	3044	16519
82	3079	16472
83	3111	16412
84	3157	16417
85	3189	16355
86	3222	16299
87	3260	16263
88	3343	16455
89	3380	16414
90	3440	16484
91	3474	16429
92	3530	16476
93	3550	16355
94	3589	16323
95	3646	16370
96	3667	16257
97	3715	16265
98	3753	16228
99	3794	16202
100	3829	16151
101	3889	16204
102	3937	16210
103	3984	16206
104	4020	16159
105	4057	16115
106	4092	16065
107	4133	16034
108	4149	15912
109	4181	15852
110	4201	15747
111	4238	15705
112	4280	15683
113	4287	15531
114	4338	15542
115	4368	15477
116	4414	15470
117	4448	15419
118	4506	15451
119	4549	15431
120	4596	15422
121	4632	15378
122	4639	15238
123	4667	15169
124	4719	15178
125	4758	15145
126	4818	15175
127	4852	15126
128	4885	15073
129	4937	15078
130	4974	15038
131	5028	15047
132	5076	15037
133	5121	15020
134	5160	14985
135	5211	14982
136	5246	14934
137	5281	14886
138	5314	14835
139	5346	14778
140	5390	14756
141	5445	14763
142	5506	14787
143	5527	14700
144	5558	14643
145	5621	14668
146	5660	14633
147	5731	14676
148	5754	14599
149	5798	14573
150	5816	14482
151	5858	14454
152	5903	14431
153	5975	14472
154	6022	14455
155	6059	14410
156	6098	14372
157	6139	14338
158	6206	14364
159	6268	14378
160	6308	14341
161	6327	14257
162	6368	14222
163	6408	14184
164	6461	14175
165	6515	14168
166	6577	14178
167	6637	14183
168	6686	14164
169	6739	14152
170	6784	14123
171	6823	14082
172	6864	14045
173	6916	14032
174	6964	14009
175	7031	14022
176	7079	13998
177	7134	13988
178	7174	13948
179	7210	13899
180	7252	13863
181	7287	13813
182	7321	13762
183	7375	13748
184	7464	13798
185	7511	13771
186	7579	13780
187	7639	13775
188	7680	13735
189	7763	13769
190	7801	13724
191	7839	13677
192	7895	13663
193	7958	13661
194	8042	13693
195	8095	13671
196	8130	13619
197	8165	13568
198	8210	13532
199	8246	13482
200	8285	13438
201	8320	13387
202	8357	13338
203	8400	13301
204	8461	13291
205	8495	13238
206	8538	13199
207	8573	13148
208	8613	13105
209	8669	13086
210	8711	13047
211	8754	13007
212	8785	12951
213	8833	12920
214	8867	12868
215	8886	12794
216	8923	12748
217	8967	12711
218	9016	12680
219	9067	12653
220	9100	12600
221	9138	12554
222	9191	12529
223	9227	12481
224	9267	12439
225	9310	12400
226	9354	12362
227	9367	12284
228	9401	12233
229	9446	12198
230	9508	12184
231	9558	12154
232	9594	12106
233	9657	12092
234	9695	12046
235	9758	12032
236	9802	11994
237	9820	11925
238	9885	11912
